SNMPTRAP-netScaler-NS-ROOT-MIB-averageCpuUtilization	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-averageCpuUtilizationNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-callHomeUploadEvent	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-changeToPrimary	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-changeToSecondary	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-clusterCCOChange	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-clusterNodeHealth	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-clusterNodeQuorum	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-clusterOVSChange	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-clusterPropFailure	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-clusterSyncFailure	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-clusterVersionMismatch	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-compactFlashErrors	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-cpuUtilization	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-cpuUtilizationNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-discoverFailure	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-diskUsageHigh	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-diskUsageNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-dnskeyExpiry	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-entityNameChanged	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-entityRxRate	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-entityRxRateNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-entitySynflood	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-entitySynfloodNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-entityTxRate	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-entityTxRateNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-entitydown	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-entityofs	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-entityup	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-fanSpeedLow	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-fanSpeedNormal	2	52	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-haBadSecState	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-haHeartbeatsRecvd	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-haLicenseCheck	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-haNoHeartbeats	''	''	1800	10
SNMPTRAP-netScaler-NS-ROOT-MIB-haPropFailure	''	''	1800	10
