#system	nodestatus	realm	custtag	role	eihostname	hostenv	systemtype	oslevel
p1vmm24	LIVE	g.ei.p1	SHARED	VMM.ICO	p1vsx24	PRD	APPLIANCE.X3650.VMM	Linux rh6.7 i386 2.6.32-573.7.1.el6.x86_64
p1vmm25	LIVE	g.ei.p1	SHARED	VMM.ICO	p1vsx25	PRD	APPLIANCE.X3650.VMM	Linux rh6.7 i386 2.6.32-573.7.1.el6.x86_64
p1vmm26	LIVE	g.ei.p1	SHARED	VMM.CI	p1vsx26	SPP	APPLIANCE.X3650.VMM	Linux sles11 x86_64 3.0.101-0.47.67-default
p1vmm27	LIVE	g.ei.p1	SHARED	VMM.VMWARE.CI	p1vsx27	PRD	APPLIANCE.X3650.VMM	
p1vmm28	LIVE	g.ei.p1	SHARED	VMM.VMWARE.CI	p1vsx28	PRD	APPLIANCE.X3650.VMM	
p1vmm29	LIVE	g.ei.p1	SHARED	VMM.VMWARE.CI	p1vsx29	PRD	APPLIANCE.X3650.VMM	
p1vmm30	LIVE	g.ei.p1	SHARED	VMM.VMWARE.CS	p1vsx30	PRD	APPLIANCE.X3650.VMM	
p1vmm31	LIVE	g.ei.p1	SHARED	VMM.VMWARE.CS	p1vsx31	PRD	APPLIANCE.X3650.VMM	
p1vmm32	LIVE	g.ei.p1	SHARED	VMM.VMWARE.CS	p1vsx32	PRD	APPLIANCE.X3650.VMM	
p1vmm33	LIVE	g.ei.p1	SHARED	VMM.VMWARE.CS	p1vsx33	PRD	APPLIANCE.X3650.VMM	
p1vmm34	LIVE	g.ei.p1	SHARED	VMM.VMWARE.CS	p1vsx34	PRD	APPLIANCE.X3650.VMM	
p1vmm35	LIVE	g.ei.p1	SHARED	VMM.ICO.CI	p1vsx35	PRD	APPLIANCE.X3650.VMM	Linux rh6.7 i386 2.6.32-573.7.1.el6.x86_64
p1vmm36	LIVE	g.ei.p1	SHARED	VMM.ICO.CI	p1vsx36	PRD	APPLIANCE.X3650.VMM	Linux rh6.7 i386 2.6.32-573.7.1.el6.x86_64
